Date,Company,Sales,is_holiday,weekday,avg_weekday_sales,avg_month_sales,days_since_salary
2020-01-01,2,72608.6236493975,1,2,376549.3133768634,319374.57754332427,-24.0
2020-01-01,1,-1.0,1,2,27052.120254278074,35334.91801122416,-24.0
2020-01-01,0,-1.0,1,2,30405.31034686852,28347.210966537048,-24.0
2020-01-02,1,57957.79077895517,0,3,28148.00134247467,35334.91801122416,-23.0
2020-01-02,0,25421.830338751235,0,3,32497.367594018746,28347.210966537048,-23.0
2020-01-02,2,205074.09358880928,0,3,403162.1918910766,319374.57754332427,-23.0
2020-01-03,1,95419.86185127932,0,4,67208.31615468785,35334.91801122416,-22.0
2020-01-03,0,64633.125616639685,0,4,75190.7202658745,28347.210966537048,-22.0
2020-01-03,2,259426.4620589949,0,4,577497.5544406803,319374.57754332427,-22.0
2020-01-04,1,138371.63076749942,0,5,89409.63689625952,35334.91801122416,-21.0
2020-01-04,2,219044.3246623998,0,5,490916.7077194942,319374.57754332427,-21.0
2020-01-04,0,80890.18109850289,0,5,72165.58014312199,28347.210966537048,-21.0
2020-01-05,2,170525.81200367876,0,6,358955.493257233,319374.57754332427,-20.0
2020-01-05,0,30590.04938094469,0,6,11794.701712919874,28347.210966537048,-20.0
2020-01-05,1,92931.52298104782,0,6,28799.51846502957,35334.91801122416,-20.0
2020-01-06,1,51776.04487057702,1,0,16154.04908577664,35334.91801122416,-19.0
2020-01-06,2,156026.03759489692,1,0,295082.5451243246,319374.57754332427,-19.0
2020-01-06,0,11497.94585330398,1,0,16850.58637028066,28347.210966537048,-19.0
2020-01-07,1,19300.93041449064,0,1,23589.924067407195,35334.91801122416,-18.0
2020-01-07,0,13028.319390399522,0,1,22820.807365978875,28347.210966537048,-18.0
2020-01-07,2,154138.40948398082,0,1,331418.13100082695,319374.57754332427,-18.0
2020-01-08,0,18873.40177935758,0,2,30405.31034686852,28347.210966537048,-17.0
2020-01-08,1,23181.50791357744,0,2,27052.120254278074,35334.91801122416,-17.0
2020-01-08,2,143874.09175305575,0,2,376549.3133768634,319374.57754332427,-17.0
2020-01-09,0,17547.23584436067,0,3,32497.367594018746,28347.210966537048,-16.0
2020-01-09,2,171516.89661254987,0,3,403162.1918910766,319374.57754332427,-16.0
2020-01-09,1,22351.179129490378,0,3,28148.00134247467,35334.91801122416,-16.0
2020-01-10,1,47216.99208749768,0,4,67208.31615468785,35334.91801122416,-15.0
